Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|birbanterokko~~_______________________________|1______________________________________|
|birbanterokk~~________________________________|1______________________________________|
|birbasz_______________________________________|1______________________________________|
|birbasze______________________________________|1______________________________________|
|birbaszowie___________________________________|1______________________________________|
|biskupie______________________________________|1______________________________________|
|bisy__________________________________________|1______________________________________|
|biszkokt~~w___________________________________|1______________________________________|
|bitew_________________________________________|2______________________________________|
|bitki_________________________________________|1______________________________________|
|bitny_________________________________________|1______________________________________|
|bitwa_________________________________________|5______________________________________|
|bitwie________________________________________|6______________________________________|
|bitwy_________________________________________|6______________________________________|
|bitw~~________________________________________|8______________________________________|
|biurka________________________________________|2______________________________________|
|biurku________________________________________|3______________________________________|
|biurku~~______________________________________|1______________________________________|
|bizun_________________________________________|1______________________________________|
|bi~~__________________________________________|14_____________________________________|
|bi~~a_________________________________________|1______________________________________|
|bi~~d~~_______________________________________|1______________________________________|
|bi~~em________________________________________|1______________________________________|
|bi~~o_________________________________________|3______________________________________|
|bi~~y_________________________________________|1______________________________________|
|blachy________________________________________|2______________________________________|
|blach~~_______________________________________|1______________________________________|
|blada_________________________________________|2______________________________________|
|blade_________________________________________|2______________________________________|
|bladnie_______________________________________|2______________________________________|
|bladn~~~~_____________________________________|1______________________________________|
|bladszy_______________________________________|1______________________________________|
|blady_________________________________________|3______________________________________|
|bladych_______________________________________|1______________________________________|
|bladym________________________________________|1______________________________________|
|blask_________________________________________|8______________________________________|
|blaski________________________________________|1______________________________________|
|blaskiem______________________________________|2______________________________________|
|blasku________________________________________|6______________________________________|
|blaszane______________________________________|2______________________________________|
|blednia~~o____________________________________|1______________________________________|
