Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|baldachim~~w__________________________________|1______________________________________|
|baletowem_____________________________________|1______________________________________|
|baletowym_____________________________________|1______________________________________|
|bali__________________________________________|1______________________________________|
|balkonach_____________________________________|2______________________________________|
|balkonom______________________________________|1______________________________________|
|balkony_______________________________________|1______________________________________|
|balkon~~w_____________________________________|4______________________________________|
|balon_________________________________________|1______________________________________|
|balustrad_____________________________________|2______________________________________|
|balustradzie__________________________________|2______________________________________|
|balustrad~~___________________________________|2______________________________________|
|bambus________________________________________|1______________________________________|
|bambusu_______________________________________|2______________________________________|
|banalnego_____________________________________|1______________________________________|
|banalno~~ci~~_________________________________|1______________________________________|
|banalny_______________________________________|1______________________________________|
|banalnym______________________________________|1______________________________________|
|banda_________________________________________|4______________________________________|
|bandini_______________________________________|1______________________________________|
|bandy_________________________________________|2______________________________________|
|bandzie_______________________________________|1______________________________________|
|band~~________________________________________|2______________________________________|
|banhofie______________________________________|1______________________________________|
|baniastymi____________________________________|1______________________________________|
|baniek________________________________________|1______________________________________|
|bank__________________________________________|1______________________________________|
|bankier_______________________________________|28_____________________________________|
|bankiera______________________________________|13_____________________________________|
|bankierach____________________________________|1______________________________________|
|banknoty______________________________________|1______________________________________|
|banknot~~w____________________________________|2______________________________________|
|bankruci______________________________________|1______________________________________|
|bankructw_____________________________________|2______________________________________|
|bankructwa____________________________________|5______________________________________|
